"","Site","PC1","PC2","PC3","PC4","PC5","PC6"
"Cumulative Proportion10","HC1",0.52492,0.7458,0.86603,0.93647,0.98967,1
"Standard deviation11","HC2",1.57984471825459,1.1702776948807,1.01194720887317,0.73882288856177,0.608675094823002,0.440634766900068
"Proportion of Variance11","HC2",0.41598,0.22826,0.17067,0.09098,0.06175,0.03236
"Cumulative Proportion11","HC2",0.41598,0.64424,0.81492,0.90589,0.96764,1
"Standard deviation12","JIC1",1.5581056752809,1.2372631416595,1.01957595990225,0.719093773548207,0.577224042225272,0.389445804777835
"Proportion of Variance12","JIC1",0.40462,0.25514,0.17326,0.08618,0.05553,0.02528
"Cumulative Proportion12","JIC1",0.40462,0.65975,0.83301,0.91919,0.97472,1
"Standard deviation13","JIC2",1.71885575754522,1.24392045629073,0.786551850576416,0.671327333249716,0.582306737175348,0.299618832855902
"Proportion of Variance13","JIC2",0.49241,0.25789,0.10311,0.07511,0.05651,0.01496
"Cumulative Proportion13","JIC2",0.49241,0.7503,0.85341,0.92852,0.98504,1
"Standard deviation14","SC1",1.4307815321221,1.27304513278655,1.11371346876641,0.708860925788308,0.671606782971733,0.37191816797785
"Proportion of Variance14","SC1",0.34119,0.27011,0.20673,0.08375,0.07518,0.02305
"Cumulative Proportion14","SC1",0.34119,0.6113,0.81802,0.90177,0.97695,1
"Standard deviation15","SC2",1.54760645403988,1.17102369720139,1.01286537438311,0.860262720880178,0.562569614565266,0.388825124206748
"Proportion of Variance15","SC2",0.39918,0.22855,0.17098,0.12334,0.05275,0.0252
"Cumulative Proportion15","SC2",0.39918,0.62773,0.79871,0.92206,0.9748,1
"Standard deviation16","SC3",1.50271596125619,1.31416893319611,0.968321055360578,0.84675083471816,0.511286602051634,0.314258051639174
"Proportion of Variance16","SC3",0.37636,0.28784,0.15627,0.1195,0.04357,0.01646
"Cumulative Proportion16","SC3",0.37636,0.6642,0.82047,0.93997,0.98354,1
"Standard deviation17","SR1",1.56749491561465,1.29141254455559,0.908164838688043,0.767442877364845,0.571005124334927,0.368014310893768
"Proportion of Variance17","SR1",0.40951,0.27796,0.13746,0.09816,0.05434,0.02257
"Cumulative Proportion17","SR1",0.40951,0.68746,0.82493,0.92309,0.97743,1
"Standard deviation18","WC1",1.42002135400835,1.09794791585181,1.02638245314168,0.953150584587742,0.77183462218478,0.469429512511447
"Proportion of Variance18","WC1",0.33608,0.20091,0.17558,0.15142,0.09929,0.03673
"Cumulative Proportion18","WC1",0.33608,0.53699,0.71257,0.86398,0.96327,1
"Standard deviation19","WR1",1.66620054749171,1.2050197731927,0.91887326358298,0.667663793696175,0.505356172794842,0.475620862064201
"Proportion of Variance19","WR1",0.4627,0.24201,0.14072,0.0743,0.04256,0.0377
"Cumulative Proportion19","WR1",0.4627,0.70472,0.84544,0.91973,0.9623,1
